month,year,MAS Core Inflation Measure,Date
1,1990,61.59,31/1/1990
2,1990,61.699,28/2/1990
3,1990,61.478,31/3/1990
4,1990,61.864,30/4/1990
5,1990,61.992,31/5/1990
6,1990,61.988,30/6/1990
7,1990,61.924,31/7/1990
8,1990,61.915,31/8/1990
9,1990,61.841,30/9/1990
10,1990,62.408,31/10/1990
11,1990,62.98,30/11/1990
12,1990,63.447,31/12/1990
1,1991,63.559,31/1/1991
2,1991,64.02,28/2/1991
3,1991,63.912,31/3/1991
4,1991,64.233,30/4/1991
5,1991,64.324,31/5/1991
6,1991,64.351,30/6/1991
7,1991,64.458,31/7/1991
8,1991,64.406,31/8/1991
9,1991,64.532,30/9/1991
10,1991,64.633,31/10/1991
11,1991,64.674,30/11/1991
12,1991,65.2,31/12/1991
1,1992,65.061,31/1/1992
2,1992,65.089,29/2/1992
3,1992,64.965,31/3/1992
4,1992,65.206,30/4/1992
5,1992,65.44,31/5/1992
6,1992,65.43,30/6/1992
7,1992,65.579,31/7/1992
8,1992,65.402,31/8/1992
9,1992,65.459,30/9/1992
10,1992,65.56,31/10/1992
11,1992,65.709,30/11/1992
12,1992,65.874,31/12/1992
1,1993,66.46,31/1/1993
2,1993,66.083,28/2/1993
3,1993,66.211,31/3/1993
4,1993,66.322,30/4/1993
5,1993,66.507,31/5/1993
6,1993,66.487,30/6/1993
7,1993,66.786,31/7/1993
8,1993,66.651,31/8/1993
9,1993,66.59,30/9/1993
10,1993,66.738,31/10/1993
11,1993,66.892,30/11/1993
12,1993,67.013,31/12/1993
1,1994,67.244,31/1/1994
2,1994,67.704,28/2/1994
3,1994,67.474,31/3/1994
4,1994,67.849,30/4/1994
5,1994,68.146,31/5/1994
6,1994,68.442,30/6/1994
7,1994,68.562,31/7/1994
8,1994,68.601,31/8/1994
9,1994,68.57,30/9/1994
10,1994,68.72,31/10/1994
11,1994,68.829,30/11/1994
12,1994,68.816,31/12/1994
1,1995,69.28,31/1/1995
2,1995,69.524,28/2/1995
3,1995,69.364,31/3/1995
4,1995,69.627,30/4/1995
5,1995,69.736,31/5/1995
6,1995,69.757,30/6/1995
7,1995,69.787,31/7/1995
8,1995,69.9,31/8/1995
9,1995,69.898,30/9/1995
10,1995,69.893,31/10/1995
11,1995,70.118,30/11/1995
12,1995,70.039,31/12/1995
1,1996,70.228,31/1/1996
2,1996,70.913,29/2/1996
3,1996,70.512,31/3/1996
4,1996,70.72,30/4/1996
5,1996,70.943,31/5/1996
6,1996,71.034,30/6/1996
7,1996,71.076,31/7/1996
8,1996,71.212,31/8/1996
9,1996,71.221,30/9/1996
10,1996,71.214,31/10/1996
11,1996,71.384,30/11/1996
12,1996,71.511,31/12/1996
1,1997,71.521,31/1/1997
2,1997,72.092,28/2/1997
3,1997,71.674,31/3/1997
4,1997,71.794,30/4/1997
5,1997,71.815,31/5/1997
6,1997,71.812,30/6/1997
7,1997,72.019,31/7/1997
8,1997,72.352,31/8/1997
9,1997,72.547,30/9/1997
10,1997,72.407,31/10/1997
11,1997,72.528,30/11/1997
12,1997,72.533,31/12/1997
1,1998,72.914,31/1/1998
2,1998,72.816,28/2/1998
3,1998,72.413,31/3/1998
4,1998,72.457,30/4/1998
5,1998,72.209,31/5/1998
6,1998,72.102,30/6/1998
