address,location,latitude,longitude,temp
68 TELOK BLANGAH HTS SINGAPORE,"68, Telok Blangah Road, 098828, Telok Blangah Road, Singapore, Singapore",1.2666824,103.8228392,
43 TELOK BLANGAH RISE SINGAPORE,"43, Telok Blangah Rise, 90112, Telok Blangah Rise, Singapore, Singapore",1.2703715,103.8233136,
42 TELOK BLANGAH RISE SINGAPORE,"42, Telok Blangah Rise, 90112, Telok Blangah Rise, Singapore, Singapore",1.2709197,103.8227725,
101 BT PURMEI RD SINGAPORE,,1.2715396,103.825747,
40 TELOK BLANGAH RISE SINGAPORE,"40, Telok Blangah Rise, 90112, Telok Blangah Rise, Singapore, Singapore",1.27168435,103.8236302,
46 TELOK BLANGAH DR SINGAPORE,"46, Telok Blangah Drive, 100046, Telok Blangah Drive, Singapore, Singapore",1.27168705,103.8099373,
44 TELOK BLANGAH DR SINGAPORE,"44, Telok Blangah Drive, 100044, Telok Blangah Drive, Singapore, Singapore",1.27174295,103.8111866,
39 TELOK BLANGAH RISE SINGAPORE,"39, Telok Blangah Rise, 099840, Telok Blangah Rise, Singapore, Singapore",1.27176865,103.8225919,
102 BT PURMEI RD SINGAPORE,,1.2720458,103.8267436,
47 TELOK BLANGAH DR SINGAPORE,"47, Telok Blangah Drive, 100047, Telok Blangah Drive, Singapore, Singapore",1.27204755,103.8101808,
45 TELOK BLANGAH DR SINGAPORE,"45, Telok Blangah Drive, 100045, Telok Blangah Drive, Singapore, Singapore",1.27209055,103.809737,
103 BT PURMEI RD SINGAPORE,,1.2721228,103.8260191,
49 TELOK BLANGAH DR SINGAPORE,"49, Telok Blangah Drive, 100049, Telok Blangah Drive, Singapore, Singapore",1.2722038,103.8111424,
38 TELOK BLANGAH RISE SINGAPORE,"38, Telok Blangah Rise, 099138, Telok Blangah Rise, Singapore, Singapore",1.2722423,103.8222033,
31 TELOK BLANGAH RISE SINGAPORE,"31, Telok Blangah Rise, 099138, Telok Blangah Rise, Singapore, Singapore",1.27228895,103.8207997,
48 TELOK BLANGAH DR SINGAPORE,"48, Telok Blangah Drive, 100048, Telok Blangah Drive, Singapore, Singapore",1.2723789,103.8106641,
104 BT PURMEI RD SINGAPORE,,1.2725589,103.8253847,
105 BT PURMEI RD SINGAPORE,,1.2725678,103.8248421,
37 TELOK BLANGAH RISE SINGAPORE,"37, Telok Blangah Rise, 099138, Telok Blangah Rise, Singapore, Singapore",1.27270945,103.8228726,
35 TELOK BLANGAH RISE SINGAPORE,"35, Telok Blangah Rise, 099138, Telok Blangah Rise, Singapore, Singapore",1.27284785,103.8220355,
30 TELOK BLANGAH RISE SINGAPORE,"30, Telok Blangah Rise, 098915, Telok Blangah Rise, Singapore, Singapore",1.2728779,103.8203082,
106 BT PURMEI RD SINGAPORE,,1.2730751,103.8256575,
50 TELOK BLANGAH DR SINGAPORE,"Blangah View, 50, Telok Blangah Drive, 100050, Telok Blangah Drive, Singapore, Singapore",1.273108,103.8102043,
32 TELOK BLANGAH RISE SINGAPORE,"32, Telok Blangah Rise, 099138, Telok Blangah Rise, Singapore, Singapore",1.27310985,103.8217334,
107 BT PURMEI RD SINGAPORE,,1.2731925,103.8246461,
80B TELOK BLANGAH ST 31 SINGAPORE,"Telok Blangah Towers, 80B, Telok Blangah Street 31, 102080, Telok Blangah Street 31, Singapore, Singapore",1.27342865,103.8070018,
108 BT PURMEI RD SINGAPORE,,1.2734415,103.8254768,
51 TELOK BLANGAH DR SINGAPORE,"Telok Blangah Neighbourhood Police Post, 51, Telok Blangah Drive, 100051, Telok Blangah Drive, Singapore, Singapore",1.2735126,103.8097031,
80C TELOK BLANGAH ST 31 SINGAPORE,"Telok Blangah Towers, 80C, Telok Blangah Street 31, 103080, Telok Blangah Street 31, Singapore, Singapore",1.2735167,103.80725,
54 TELOK BLANGAH DR SINGAPORE,"54, Telok Blangah Drive, 100054, Telok Blangah Drive, Singapore, Singapore",1.27359385,103.8120423,
106 SPOTTISWOODE PK RD SINGAPORE,,1.2736078,103.8340797,
80A TELOK BLANGAH ST 31 SINGAPORE,"Telok Blangah Towers, 80A, Telok Blangah Street 31, 101080, Telok Blangah Street 31, Singapore, Singapore",1.2736569,103.806568,
110 SPOTTISWOODE PK RD SINGAPORE,,1.273668,103.8364347,
110 BT PURMEI RD SINGAPORE,,1.2738047,103.8270224,
17 CANTONMENT CL SINGAPORE,"17, Cantonment Close, 080017, Cantonment Close, Singapore, Singapore",1.2738203,103.8398832,
52 TELOK BLANGAH DR SINGAPORE,"52, Telok Blangah Drive, 100052, Telok Blangah Drive, Singapore, Singapore",1.2738502,103.8113105,
19 CANTONMENT CL SINGAPORE,"19, Cantonment Close, 080019, Cantonment Close, Singapore, Singapore",1.2738632,103.8390254,
28 TELOK BLANGAH RISE SINGAPORE,"28, Telok Blangah Rise, 098915, Telok Blangah Rise, Singapore, Singapore",1.27386995,103.8209136,
18 CANTONMENT CL SINGAPORE,"18, Cantonment Close, 080018, Cantonment Close, Singapore, Singapore",1.27387105,103.8394329,
16 CANTONMENT CL SINGAPORE,"16, Cantonment Close, 080016, Cantonment Close, Singapore, Singapore",1.27390185,103.8403063,
109 BT PURMEI RD SINGAPORE,,1.2739482,103.8252941,
55 TELOK BLANGAH DR SINGAPORE,"55, Telok Blangah Drive, 100055, Telok Blangah Drive, Singapore, Singapore",1.27397095,103.8122757,
77 TELOK BLANGAH DR SINGAPORE,"77, Telok Blangah Drive, 100077, Telok Blangah Drive, Singapore, Singapore",1.2739768,103.8088961,
65 TELOK BLANGAH DR SINGAPORE,"65, Telok Blangah Drive, 100065, Telok Blangah Drive, Singapore, Singapore",1.2740669,103.8104559,
109 SPOTTISWOODE PK RD SINGAPORE,,1.2741055,103.8366159,
66 TELOK BLANGAH DR SINGAPORE,"66, Telok Blangah Drive, 100066, Telok Blangah Drive, Singapore, Singapore",1.2741439,103.8097219,
33 TELOK BLANGAH WAY SINGAPORE,"33, Telok Blangah Way, 099138, Telok Blangah Way, Singapore, Singapore",1.27419135,103.8224397,
56 TELOK BLANGAH HTS SINGAPORE,"56, Telok Blangah Heights, 100056, Telok Blangah Heights, Singapore, Singapore",1.27425325,103.8125695,
53 TELOK BLANGAH DR SINGAPORE,"53, Telok Blangah Drive, 100053, Telok Blangah Drive, Singapore, Singapore",1.27430575,103.811503,
111 BT PURMEI RD SINGAPORE,,1.274388,103.8272941,
64 TELOK BLANGAH DR SINGAPORE,"64, Telok Blangah Drive, 100064, Telok Blangah Drive, Singapore, Singapore",1.2743985,103.8109144,
76 TELOK BLANGAH DR SINGAPORE,"76, Telok Blangah Drive, 102080, Telok Blangah Drive, Singapore, Singapore",1.27440375,103.8087534,
11 CANTONMENT CL SINGAPORE,"11, Cantonment Close, 080011, Cantonment Close, Singapore, Singapore",1.2744195,103.8397293,
12 CANTONMENT CL SINGAPORE,"12, Cantonment Close, 080012, Cantonment Close, Singapore, Singapore",1.274474,103.8400995,
104 SPOTTISWOODE PK RD SINGAPORE,,1.2744804,103.8348949,
112 BT PURMEI RD SINGAPORE,,1.2745295,103.8259281,
57 TELOK BLANGAH HTS SINGAPORE,"57, Telok Blangah Heights, 100057, Telok Blangah Heights, Singapore, Singapore",1.27464035,103.812629,
67 TELOK BLANGAH DR SINGAPORE,"67, Telok Blangah Drive, 100067, Telok Blangah Drive, Singapore, Singapore",1.27466215,103.8097514,
13 CANTONMENT CL SINGAPORE,"13, Cantonment Close, 080013, Cantonment Close, Singapore, Singapore",1.274708,103.840528,
103 SPOTTISWOODE PK RD SINGAPORE,,1.2747341,103.8353025,
63 TELOK BLANGAH HTS SINGAPORE,"63, Telok Blangah Street 32, 100063, Telok Blangah Street 32, Singapore, Singapore",1.27482355,103.8109865,
75 TELOK BLANGAH DR SINGAPORE,"75, Telok Blangah Drive, 100075, Telok Blangah Drive, Singapore, Singapore",1.2748762,103.8086867,
113 BT PURMEI RD SINGAPORE,,1.2748886,103.8271056,
58 TELOK BLANGAH HTS SINGAPORE,"58, Telok Blangah Heights, 100058, Telok Blangah Heights, Singapore, Singapore",1.27491795,103.8135427,
27 TELOK BLANGAH WAY SINGAPORE,"Opposite Blk 27, Telok Blangah Way, 098915, Telok Blangah Way, Singapore, Singapore",1.2749189,103.8212504,
1 TG PAGAR PLAZA SINGAPORE,"Tanjong Pagar Post Office, 1, Tanjong Pagar Road, 082001, Tanjong Pagar Road, Singapore, Singapore",1.2749526,103.8425767,
114 BT PURMEI RD SINGAPORE,,1.275194,103.8258403,
62 TELOK BLANGAH HTS SINGAPORE,"62, Telok Blangah Street 32, 100062, Telok Blangah Street 32, Singapore, Singapore",1.27523515,103.8111689,
2 TG PAGAR PLAZA SINGAPORE,"Tanjong Pagar Plaza, 2, Tanjong Pagar Plaza, 081002, Tanjong Pagar Plaza, Singapore, Singapore",1.27526835,103.8426017,
9 CANTONMENT CL SINGAPORE,"9, Cantonment Close, 080009, Cantonment Close, Singapore, Singapore",1.27531455,103.8392052,
59 TELOK BLANGAH HTS SINGAPORE,"59, Telok Blangah Heights, 100059, Telok Blangah Heights, Singapore, Singapore",1.2753467,103.8136083,
101 HENDERSON CRES SINGAPORE,"Henderson Road, 100059, Singapore",1.2753484,103.8147842,
103 HENDERSON CRES SINGAPORE,"Henderson Road, 100059, Singapore",1.2753484,103.8147842,
102 HENDERSON CRES SINGAPORE,"Henderson Road, 100059, Singapore",1.2753484,103.8147842,
104 HENDERSON CRES SINGAPORE,"Henderson Road, 100059, Singapore",1.2753484,103.8147842,
115 BT PURMEI RD SINGAPORE,,1.2753564,103.8268859,
74 TELOK BLANGAH HTS SINGAPORE,"74, Telok Blangah Heights, 100084, Telok Blangah Heights, Singapore, Singapore",1.275357,103.8088328,
24 TELOK BLANGAH CRES SINGAPORE,"24, Telok Blangah Crescent, 098915, Telok Blangah Crescent, Singapore, Singapore",1.27538745,103.8206437,
1G CANTONMENT RD SINGAPORE,"The Pinnacle@Duxton, 1G, Cantonment Road, 085701, Cantonment Road, Singapore, Singapore",1.27556565,103.8413075,
69 TELOK BLANGAH HTS SINGAPORE,"69, Telok Blangah Street 32, 100069, Telok Blangah Street 32, Singapore, Singapore",1.27558415,103.8103623,
23 TELOK BLANGAH CRES SINGAPORE,"23A, Telok Blangah Crescent, 098915, Telok Blangah Crescent, Singapore, Singapore",1.2755992,103.8211826,
3 TG PAGAR PLAZA SINGAPORE,"Tanjong Pagar Plaza, 3, Tanjong Pagar Plaza, 081003, Tanjong Pagar Plaza, Singapore, Singapore",1.27562565,103.8423968,
61 TELOK BLANGAH HTS SINGAPORE,"61, Telok Blangah Heights, 100061, Telok Blangah Heights, Singapore, Singapore",1.27569185,103.8120936,
73 TELOK BLANGAH HTS SINGAPORE,"73, Telok Blangah Heights, 100073, Telok Blangah Heights, Singapore, Singapore",1.2757389,103.8092723,
8 CANTONMENT CL SINGAPORE,"8, Cantonment Close, 080008, Cantonment Close, Singapore, Singapore",1.2758331,103.8390179,
4 TG PAGAR PLAZA SINGAPORE,"Tanjong Pagar Plaza, 4, Tanjong Pagar Plaza, 081004, Tanjong Pagar Plaza, Singapore, Singapore",1.2759129,103.8427023,
1F CANTONMENT RD SINGAPORE,"The Pinnacle@Duxton, 1F, Cantonment Road, 085601, Cantonment Road, Singapore, Singapore",1.2759757,103.8412094,
60 TELOK BLANGAH HTS SINGAPORE,"60, Telok Blangah Heights, 100060, Telok Blangah Heights, Singapore, Singapore",1.2760852,103.8122003,
72 TELOK BLANGAH HTS SINGAPORE,"72, Telok Blangah Heights, 100072, Telok Blangah Heights, Singapore, Singapore",1.2761007,103.8096514,
5 TG PAGAR PLAZA SINGAPORE,"Tanjong Pagar Plaza, 5, Tanjong Pagar Plaza, 081005, Tanjong Pagar Plaza, Singapore, Singapore",1.2762681,103.8430291,
22 KG BAHRU HILL SINGAPORE,,1.276297,103.829797,
24 KG BAHRU HILL SINGAPORE,,1.2763949,103.8294796,
25 TELOK BLANGAH CRES SINGAPORE,"25, Telok Blangah Crescent, 098915, Telok Blangah Crescent, Singapore, Singapore",1.2764034,103.8191629,
