year,gni,metadata
1990,22901, Subject: National Accounts 
1991,24674, Topic : Gross Domestic Product 
1992,26301," Title  : M015121 - Per Capita GNI And Per Capita GDP At Current Prices, Annual "
1993,28929,"For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications."
1994,32963,SOURCE: SINGAPORE DEPARTMENT OF STATISTICS
1995,35569,Data last updated: 15/02/2021
1996,36724,Generated by: SingStat Table Builder 
1997,39930,Date generated: 19/05/2021
1998,37072,Contact: info@singstat.gov.sg 
1999,37363,
2000,40870,
2001,38620,
2002,38890,
2003,40244,
2004,43841,
2005,47046,
2006,52201,
2007,57866,
2008,54524,
2009,53683,
2010,63712,
2011,65454,
2012,66330,
2013,67444,
2014,70400,
2015,71283,
2016,73567,
2017,78044,
2018,79517,
2019,78847,
2020,72418,
2021,75000,
